OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding,ENERGYSTARScore,SiteEnergyUse,SteamUse,Electricity,NaturalGas,OtherFuelUse,GHGEmissions,BuildingAge,IsSteamUser,IsElectricityUser,IsNaturalGasUser,IsOtherFuelUser,NumberOfUsedEnergies,MostUsedEnergy,GatheredPrimaryPropertyType,LogSiteEnergyUse,LogGHGEmissions
819,NonResidential,Retail Store,NORTHEAST,1956,1.0,2.0,93803.0,,5453438.5,0.0,3884335.0,1569103.0,0.0,110.41,60,0.0,1.0,1.0,0.0,2.0,Electricity,Store,15.51175706849642,4.713217090071225
821,NonResidential,Warehouse,GREATER DUWAMISH,1966,1.0,2.0,123000.0,47.0,3004271.0,0.0,3004271.0,0.0,0.0,20.94,50,0.0,1.0,0.0,0.0,1.0,Electricity,Warehouse,14.915545833705874,3.088311454847084
861,NonResidential,Medical Office,EAST,2003,1.0,5.0,162150.0,70.0,9941308.0,0.0,9941307.0,0.0,0.0,69.3,13,0.0,1.0,0.0,0.0,1.0,Electricity,Medical and Care,16.112209260103217,4.252771798816619
822,NonResidential,Warehouse,GREATER DUWAMISH,1978,1.0,1.0,60448.0,90.0,1052244.75,0.0,620853.0,431392.0,0.0,27.24,38,0.0,1.0,1.0,0.0,2.0,Electricity,Warehouse,13.866437247660535,3.3407394126250414
828,NonResidential,Hospital,EAST,1994,7.0,14.0,1765970.0,54.0,291614432.0,134943456.0,139354828.0,17316120.0,0.0,12307.16,22,1.0,1.0,1.0,0.0,3.0,Electricity,Medical and Care,19.49094305275867,9.418017736032445
829,NonResidential,Other,MAGNOLIA / QUEEN ANNE,1928,3.0,4.0,62600.0,,11147342.0,0.0,4031128.0,7116213.0,0.0,406.04,88,0.0,1.0,1.0,0.0,2.0,NaturalGas,Other,16.226711731509283,6.008911460711703
830,NonResidential,Mixed Use Property,EAST,2004,1.0,4.0,55800.0,,2655387.5,0.0,2604783.0,50604.0,0.0,20.85,12,0.0,1.0,1.0,0.0,2.0,Electricity,Mixed Use Property,14.792101529636941,3.084200921541599
831,NonResidential,Medical Office,EAST,1990,1.0,5.0,130262.0,59.0,12731388.0,0.0,11761550.0,969837.0,0.0,133.5,26,0.0,1.0,1.0,0.0,2.0,Electricity,Medical and Care,16.359581076914342,4.901564199041894
832,NonResidential,Other,NORTH,1987,1.0,5.0,90266.0,18.0,7771933.5,0.0,7771933.0,0.0,0.0,54.18,29,0.0,1.0,0.0,0.0,1.0,Electricity,Other,15.866029661754814,4.01060056878914
837,NonResidential,Warehouse,BALLARD,2004,1.0,4.0,80874.0,87.0,1165598.875,0.0,1027649.0,137950.0,0.0,14.49,12,0.0,1.0,1.0,0.0,2.0,Electricity,Warehouse,13.96874642662222,2.740194654428777
839,NonResidential,Hotel,EAST,2003,1.0,6.0,100528.0,28.0,13410041.0,0.0,5601497.0,7808543.0,0.0,453.76,13,0.0,1.0,1.0,0.0,2.0,NaturalGas,Hotel,16.411514387244008,6.119769807260906
841,NonResidential,Other,MAGNOLIA / QUEEN ANNE,1999,1.0,5.0,141718.0,,19085174.0,0.0,14573159.0,4512014.0,0.0,341.23,17,0.0,1.0,1.0,0.0,2.0,Electricity,Other,16.764422413624274,5.835483025645868
